anchor,positive
The boy in the blue and yellow top is standing with arms outstretched.,A boy is wearing a shirt
"A boy in a blue, yellow, and orange shirt plays outside.",A boy in a shirt plays outside.
A child with a brightly colored shirt plays outside.,The child is outdoors in his bright colored shirt.
A boy looks down and spreads his arms wide,A boy is holding his arms out.
A man wearing a gray sweater walking through a pile of leaves.,The man is outside.
A lady wearing a blue print shirt and green head cover smiles for the camera.,A lady wearing a blue shirt.
The man wearing lots of medals is watching the girl in the yellow bikini top.,A decorated man sees a scantily clad female.
"A young man in his mid twenties is kicking his left foot about two feet off the leaf covered ground, with paved asphalt and green plants and trees in the background.",someone in his twenties kicks at the ground
A woman wearing a green headscarf laughs while a woman in the background paddles a boat.,A woman laughs while another paddles a boat.
Young people playing with a long jump rope in the street.,People playing jump rope.
A group of children play jump rope in the streets while others watch in the background.,Several children are jumping rope in the middle of a road while other kids watch
Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,Woman wearing a shirt sewing.
A group of young girls playing jump rope in the street.,Humans playing jump rope
A man in a tan suit is using a pay phone to make a call.,Someone is on a phone.
Some children are playing jump rope.,Children are jumping rope.
A large golden dog sniffing the butt of a white dog,Two animals getting to know each other.
A sumo wrestler with a brown belt is pushing another wrestler in a bout.,Two sumo wrestlers compete in a match.
Two large dogs greet other while their owners watch.,the dogs see each other
"A man in a red and black jacket, blue shirt, lots of silver necklaces, and his blue jeans falling down, checks out a woman wearing a black leather jacket, yellow bra, pink fingerless gloves, and sunglasses.",A man is wearing many silver necklaces.
Woman with green sweater and sunglasses smiling,A woman with a green sweater has a happy expression.
A woman with dark hair is wearing a green sweater.,A woman is there.
A smiling lady in a green jacket at a public gathering.,A happy woman smiling
A woman in a green jacket and black sunglasses outside in a crowd.,A woman is outside.
A lady with sunglasses on her head and a green sweatshirt is looking off-camera.,A woman is wearing a green sweatshirt.
A climber is making his way up a snowy mountainside.,A climber is ascending
A man dressed in snow-gear takes a leap into a snow-covered ravine.,A man is outdoors.
a lone person jumping through the air from one snowy mountain to another.,A person jumps in the air.
A man in shorts and a white garment stands at the base of stairs framed by black railing.,A man stands at the bottom of the stairs.
A man doing tricks in the snow.,The man is outside.
Two Asian people sit at a blue table in a food court.,Two people are seated together.
Indian couple holding child near riverbank.,A couple is holding a child
A bunch of people playing soccer.,a bunch of people are playing soccer
A soccer player jumping in air during a game.,A soccer player jumping up while a game is in progess.
A shot-on-goal action photo of soccer players in red and black uniforms.,a player has a penalty kick
The red team knocked the ball toward the goal and the black team tried to block it.,The red and black team are playing a game.
Six soccer players on field with player in red uniform in the air and ball airborne.,People are playing soccer.
Two little kids showing their American pride in their star spangled wagon.,Two kids are with a wagon.
"A young man in a red quilted vest displays an assortment of silver pendants around his neck as he watches a woman in a yellow bikini top, a black jacket, and bright pink fingerless gloves go by.",Someone is browsing jewelry.
Girl is blowing to a butterfly.,The girl blows a butterfly.
An elderly couple dances next to a table where a boy is sitting with his head down.,A young man has his head on the table.
A small girl stands among many large watermelons.,There is a girl standing
An elderly couple dance in front of a juke box while a guy in shorts sleeps at a nearby table,An old couple dance in by a juke box while a dude wearing shorts sleeps near a table
"An elderly couple, both wearing white shirts, dancing and a young male sitting at a table.",The couple is dancing together.
A child stoops to pick up a watermelon from a large pile of them.,A person is near a watermelon.
A small girl dressed in a yellow dress with flowers on it bends over near a large pile of watermelons.,The girl is under the age of 88 years old.
A little girl picking up a watermelon from a pile.,A girl is picking an item up.
a young girl in a flowery dress surrounded by watermelons,There is a lot of fruit.
A man in a blue jacket screaming.,A man is making a loud noise.
Children playing a game in a field.,Children playing a game.
A seated woman with short hair and a camera throws a Frisbee to a brown dog.,The woman throws a Frisbee to the dog.
Asian city scene of people in street with bright lights and glass buildings behind.,People are in the street.
Asian city scene of people in street with bright lights and glass buildings behind.,The Asian city is full of sights.
Asian city scene of people in street with bright lights and glass buildings behind.,City people in street
Asian city scene of people in street with bright lights and glass buildings behind.,There are people in an urban area.
Asian city scene of people in street with bright lights and glass buildings behind.,There are people in front of buildings that are brightly lit.
A man is painting a portrait of an outside scene that includes a street sign with a bicycle chained to it.,A man is painting a landscape of an outdoors area.
An older man stands on the sidewalk painting the view.,The old man is painting a portrait.
"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",The buildings are tall.
"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",The Seiko building is large.
"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",lots of people are in the street
"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",There is a crowded street.
"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",A crowded street in Asia.
A small boy has gotten into the cabinet and gotten flour and crisco all over himself.,The boy is making a mess.
A male painting a scene in front of him.,A person is painting.
Busy Japanese intersection like maybe Tokyo.,There are lots of cars on the street.
Cars are passing through a town.,some car passing outside
A picture of a city with a sign welcoming travelers on a busy street.,A picture of a city is on a street
Overlooking a street with a sign above shops that states Welcome To Golden.,"The shop sign says  ""Welcome to Golden"""
There are cars driving down a street with a sign displaying Welcome to Golden.,The cars are outside.
"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden"".","A sign reads ""Welcome to Golden"""
Little Girl in brown shirt and blue jean skirt dances on wood floor.,A girl is dancing in a brown shirt and blue jean skirt on a wooden floor
A young man is performing a jump on a skateboard while another young man photographs his stunt.,Two boys are skateboarding outside.
A young girl dancing in her socks on a wooden floor strewn with pink balloons.,A girl is enjoying herself.
"Child with pink strings on head dancing surrounded by confetti, balloons.",A child is dancing.
"A good-looking firefighter sets up ""Do Not Cross"" tape in the city.",A firefighter sets up a do not cross
"A good-looking firefighter sets up ""Do Not Cross"" tape in the city.",A firefighter sets up tape in a city
A fireman protects an area by setting up a boundary while others watch.,A fireman is working hard to keep people safe.
The blond girl is dancing inside a house.,A person is indoors.
"Two people standing in front of a large statue of a woman, other statues and busts visible in the background.","Two people standing standing near a large statue, with other states nearby."
a man with a white covering is walking up a flight of stairs.,A human walks up some stairs.
A family between a van and fence,A family by a van.
A woman talking to four little children outside.,A female adult is near some kids.
A mother with her four children.,A woman with children.
A woman and a few children in an alleyway in between a vehicle and a fence.,Several people in an alleyway.
A woman in a floral dress talks to children in front of a van.,A woman is talking to children.
Two men with heads down signing a paper.,The two men sign something.
A man and a woman having an intimate conversation in front a statue.,A couple are having a conversation
A man in a Tour De Force shirt is working on a bicycle.,A man is working on a bike.
A young toddler wearing pink sandals is walking on hopscotch numbers.,A baby walks on the ground.
a man wearing blue plays soccer.,man playing soccer
Mothers with children talking at a gathering.,The mothers are having conversations.
Two women are talking while children are sitting on their laps.,Some women are talking.
"Two women, each embracing a little girl, catch up at a small family gathering.",2 women are carrying little girls.
Two women holding children talking to one another.,There are at least four people.
"Two women, each with a child, look at each other.",Women are with their kids
A black-and-white dog carries a stick in his mouth as he swims in the clear water.,A dog is outside
A black and white dog with a stick in its mouth is swimming.,A dog with an object in it's mouth is in the water.
A pirate is chasing a princess down the sidewalk.,Pirate on the sidewalk
A dog is fetching a stick out of very clear water.,A dog is fetching a stick out of very clear water.
A dog in the water carries a stick in his mouth.,A dog carries a stick in his mouth.
Two children are running down a sidewalk dressed in costumes.,Two kids are running.
1 little boy wearing a pirate costume following closely behind a little girl wearing a blue dress carrying a orange pumpkin bucket and walking down the sidewalk.,Boy in costume followed by a girl in costume.
A little boy in a pirate costume is running behind a little girl in a princess costume carrying an orange pumpkin along the sidewalk.,Two kids wearing costumes are outside.
A man with a gray shirt holds a young infant in his hands.,A man is wearing a shirt.
"Two girls, each in a dress walking together.",Two Girls are doing exercise.
A group of people are sitting around a table under a blue sunshade.,people sit around table
People in line for plates of rice.,People are waiting to eat.
People sitting down to eat.,People are about to eat.
Several men sit outside on brick ledges built around tall trees.,Some men are sitting outdoors.
Workers are eating a meal while one man sits on a pile of plywood.,Workers are resting during a meal break.
Workers are taking a break during midday.,Workers are on break.
Workers are sitting next to a work zone eating food.,the workers are waiting for next work
Biker riding dirt bike on dirt track,Human rides two wheeled vehicle.
A motorcycle racer is in action at the track.,The racer is driving.
A blond woman with her hair up is taking off a white sweatshirt.,A woman is blonde
A person is a red hat and winter jacket is looking into the distance.,The person stares off into the distance.
A man riding a dirt bike,A human is riding a vehicle.
A man riding a dirt bike,A man is outside.
A man riding a dirt bike,Man riding bike
A man riding a dirt bike,A man is on a dirt bike.
A man riding a dirt bike,A guy is driving a dirt bike.
"A man is sitting with his head facing down, while other people are looking in his direction.",The man is being stared at.
Small blond-haired girl drinking a glass of juice.,A girl is holding a glass.
A person in a red coat and a running black and brown dog.,A person in a red dress is running behind a black animal.
a woman in a red jacket watches as a black and brown dog runs away from her in woodland clearing.,A woman is wearing a red jacket
"Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.",A woman throws something for a dog.
"Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.",A person throwing something for her dog.
"Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.",A person and their pet are outdoors
"Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.",A woman and an animal are interacting outdoors.
"Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.",a woman and a german shepherd are pictured
A dog is preparing to run away from a person interacting with it.,A dog is nearby a person
A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.,A woman is interacting with a dog.
"Two men trying to build something together, while having fun.",Two men are laughing and enjoying themselves.
Three people are sitting on a bench.,There are people sitting down.
Two women and one man sit on a bench.,The women and the man are on a bench.
A man and two women sitting on a bench.,A few people share a bench.
A man and two women in black jackets holding umbrellas sit on a long wooden bench.,People are on a bench
man in red canada shirt standing with three men in army uniform,Man standing with three men in army uniform
Skydivers in formation.,People are skydiving.
A woman checks her purse while at a outside cafe.,A person looks in her purse at a restaurant.
The cowboy waves to the rodeo crowd.,The cowboy waved to the crowd.
A woman is sitting at an outdoor dining table.,A person is sitting down.
Lady wearing a yellow top is sitting on a chair,A woman with a yellow to sits.
a child is pushing another kid in a wheeler dressed in a red top and wearing a cap.,Children enjoy playing together.
A cowboy is riding a bucking bull in a rodeo arena.,A cowboy rides a bull at a rodeo.
A blond child is pulling a wagon with a little blond boy in it.,A child is pulling a toy wagon.
A man wearing a tan coat signs papers for another man wearing a blue coat.,"One man writes on papers, while another man stands by."
A groom and a bride are standing on the grass with his hand on her waist.,A groom and bride are standing outside.
A man is singing into a microphone.,Someone is making music.
a girl wearing a blue and pink swimsuit is throwing stones into a lake.,girl throws stones
"A man and a woman being intimate, with their legs in the water.",a man and woman are getting intimate
A group of people stand on a grassy field.,People are standing on a grassy field
Men in uniform work together.,Uniformed men work.
An elderly woman places carrots into a casserole.,An elderly woman puts carrots into a casserole
A man in a gray vehicle feeding sheep.,The man is outside.
"Three men are grouped around the back of a car with its tailgate out, two of the men clothed in yellow uniforms and one in blue.",Three men are grouped around the back of a car.
"Three men, two wearing yellow suits, are looking in the back of a car.",Three men looking at a car.
Emergency personnel looking into the back of a car.,People are looking in a car.
Some firefighters check a vehicle.,Firefighters are checking a car.
A man in a kitchen is frying breaded food in a cast iron pan.,A man cooks.
A woman in colorful garb with her back to the camera and cloth on her hear.,A woman has her back to the camera.
A woman in colorful native attire featuring a blue shirt with a colorful design displays her dark hair braided with red ribbons.,A woman is dressed stylishly in native garb.
Oddly dressed man walking down the street.,An oddly dressed man walking.
A man in ruffles pushes a stroller through a park.,The man is pushing a stroller.
An oddly dressed man pushing a stroller down a sidewalk in a park.,A man wearing weird clothes is walking through a park.
A smiling man cooks something delicious.,The man is cooking
a young man wearing a backpack and sunglasses is walking towards a shopping area.,A man walks near a store
A young man wearing a backpack and dark glasses approaches the brick building where there is a bit of graffiti on the wall.,The young man has glasses on his face.
A brown dog running with two white and brown dogs on the seashore with crashing waves behind them.,The dogs were outdoors running along the shore
A young man in blue sunglasses walking in front of a red brick building.,Man in blue glasses walking pass a building
A dog jumps to catch a toy in the snow.,An animal is jumping in a place that is not hot.
Black dog jumping into the air to catch a toy in the snow.,The dog is in the snow.
A black dog in snow is jumping off the ground to catch a stick.,A dog is catching a stick.
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,People are paying attention to the person hanging pictures
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,There are people watching another person hang up pictures.
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,the person is hanging pictures.
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,Somebody is hanging up pictures while people watch.
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,The people are outdoors.
"Five men, one wearing a white shirt standing on something, hanging up a picture of a child.",Men are hanging something on the wall.
"Five men, one wearing a white shirt standing on something, hanging up a picture of a child.",A group of men are hanging a picture on a wall.
"Five men, one wearing a white shirt standing on something, hanging up a picture of a child.",There's a group of men hanging up a picture.
"Five men, one wearing a white shirt standing on something, hanging up a picture of a child.",A man is hanging a picture of a child.
"Five men, one wearing a white shirt standing on something, hanging up a picture of a child.",A man is hanging up a picture of a child.
There are four Eastern guys working on and hanging pictures of humans.,The men are working.
A man in a white shirt hangs a painting in a run down store while other men watch.,Men are indoors.
"Men are playing soccer, the one in front is about to kick the ball.",The guys are playing a game.
A man is putting up a poster in front of a shop.,A man is decorating a shop.
A man is putting up a poster in front of a shop.,The man is putting up a poster.
A man is putting up a poster in front of a shop.,A man hangs a poster in front of a shop.
A man is putting up a poster in front of a shop.,There is a man in front of the shop.
A man is putting up a poster in front of a shop.,A man is standing in front of a shop.
The Arsenal football club warms-up on the soccer field as a few fans watch.,A football/soccer club during warm ups.
Soccer players warm up by kicking the soccer ball around while the crowd waits.,The crowd looked on while the players prepared themselves.
People sit and relax next to a pool in a plaza.,People lounge about a pool.
"In a bowling alley, a man holding a green bowling ball looks ahead at the pins that he must knock down.",A man is bowling.
A man wearing blue jeans and red bowling shoes stands in a bowling alley lane with a green ball in his hand.,A man stands in a bowling alley lane.
"A guy stands with a green bowling ball in his hand, and looks down the bowling lane.",A man plays bowling.
A man holding a green bowling ball stands by the ball return machine in a bowling alley.,A person holding a green bowling ball stands by the ball return machine in a bowling alley.
A man is standing up holding a green bowling ball with his right hand.,A man is bowling.
A group of people sitting at a table outside talking.,A group sits outside while talking.
A group of men and women are having a discussion in a restaurant.,a group of men and women converse
A group of adults is having a discussion at a table under a tent.,People are having a discussion.
A group of people sitting around a picnic table.,The people are near the table.
"A group of people gathers on the grass in a backyard with tents, tables, and chairs set up.",A group of people gathering on the grass.
One soccer team is playing against another.,People are playing a sport.
A black dog swimming in water near rocks.,A dog is outside playing in the water.
the three boys are all holding onto a flotation device in the water.,Three boys are in a body of water.
A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.,A soccer game is in progress.
A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.,The goalie wants to prevent a goal.
A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.,A soccer game is happening.
A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.,A group of people are playing a game of soccer.
A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.,There is a soccer game with a team in yellow.
A group of people are playing soccer and two players from opposing teams are battling for the ball.,A soccer game.
"A soccer match between a team with white jerseys, and a team with yellow jerseys.",A competition is happening.
A young woman is playing the violin.,The young violinist is a woman.
People relax around a large community fountain in a park.,Community members are spending time in the park near a foundtain.
A woman playing the violin with sunglasses on her head.,someone is playing an instrument
A female violinist surrounded by other violinists.,A violinist among other string musicians
"A man, wearing revolutionary period clothes, is ringing a bell.","A man, wearing a revolutionary apparel is making noise with a bell."
A couple of people working around a pile of rocks.,People are working.
A man wearing a gray cap is looking down.,A man is wearing a cap
An older man dressed in blue historical clothing is ringing a bell in his right hand.,man ringing a bell
"Three young children consisting of two girls and a boy who is holding an apple with a bite out of it, are posing on a scenic mountain view background.",The three young childeren were hold an apple with a bite on it
"Three young children consisting of two girls and a boy who is holding an apple with a bite out of it, are posing on a scenic mountain view background.",Girls and boys are having fun outdoors
"Three young children consisting of two girls and a boy who is holding an apple with a bite out of it, are posing on a scenic mountain view background.",Kids pose in front of a mountain background.
"Three young children consisting of two girls and a boy who is holding an apple with a bite out of it, are posing on a scenic mountain view background.",Three children pose for a picture.
"Three young children consisting of two girls and a boy who is holding an apple with a bite out of it, are posing on a scenic mountain view background.",A group of children are posing.
"two little girls, one in a green jacket and one in a pink jacket, and a little boy in a green jacket holding an apple sitting on a rock.",Three kids are sitting on a rock.
An old man wearing khaki pants and a brown shirt standing on the sidewalk in front of a building.,The old man is standing outside of a building.
An old man wearing khaki pants and a brown shirt standing on the sidewalk in front of a building.,An old man is standing by a building in downtown.
A man in costume is ringing a bell.,A man is playing an instrument.
two female medical personnel read their charts.,The women work in the health field.
"A person in an orange shirt is laying on the ground while others are standing around her, smiling.",a person in orange
Two men stand around a mixing bowl.,Two men are around a bowl.
Five people on stage performing and acting while girl lay's on belly.,A groups of people acts on stage.
Four people are acting behind a woman in a yellow shirt is lying on the ground.,A woman is lying down.
"Two men cook together with a metal bowl, near a hanging plant.","Near a hanging plant, a metal bowl was used to cook by two mens"
a woman on a yellow shirt is on the floor.,A woman on top of her clothes.
Two men share a laugh while in the kitchen.,Two men are in the kitchen.
Two men are cooking in the kitchen using rice milk.,Two guys cook using some rice milk.
A man windsurfs in a wetsuit.,A man is windsurfing.
A kite surfer begins to fall in the ocean.,A kite surfer is falling
A windsurfer is balancing on choppy water.,There is a windsurfer balancing on choppy water.
A man wakeboards on choppy water.,A man is wakeboarding.
A man parasails in the choppy water.,The water was choppy as the man parasailed.
"A woman in a white dress with a tiara sings in a chorus, which has a row of men in sailor hats.",The chorus is singing.
A child using a woodworking tool,the child is working with wood.
A little kid enjoying some sledding on a winter day.,There is snow on the ground.
A person is looking at water jets.,The person is interested in a water jet.
Two people enjoying a water fountain display.,two people by a fountain
A boy in a red and blue shirt painting a log.,A boy painting a log.
Child in red and blue shirt painting a log.,A log is being painted by a child.
Child in red and blue shirt painting a log.,A child in a multicolored shirt is painting a log
Child in red and blue shirt painting a log.,The child is painting the wood.
Child in red and blue shirt painting a log.,The child is painting.
Child in red and blue shirt painting a log.,The child is painting.
Two people are next to a fountain with a red bottom and arches of water.,Two people are next to a fountain together.
An expectant woman happily lets another listen to the baby inside of her.,A pregnant lady shares the sounds of her pregnancy.
Soccer players on a field from a distance.,There are soccer players on the field.
Busy ChinaTown street corner where people are walking past an open front store.,There are people in ChinaTown.
A girl wearing a dress is blowing bubbles at a dock.,A human wearing a dress.
A man wearing a blue shirt is sitting on a brick planter next to some paintings.,A man is sitting down.
A child in formal clothing is walking along the edge of a stony area that is littered in places.,Someone is wearing formal clothes.
A young boy wearing a light blue jacket walks across the brick patio.,boy walks accross patio
A young boy with a blue coat makes a funny face as he walks towards the grass.,The child was walking near the grass making a funny face.
A little boy with a blue jacket is making a sour face at the camera.,The boy mugs for the camera.
People in a truck-full of sacks in a field full of sheep.,Some humans in a truck
Three construction workers posing with construction materials.,The workers are standing still.
Three people stand proudly by a truck stocked with building supplies in the street.,Peole stand by a building supply truck.
Three working men smile in front of a truck while holding construction equipment.,There are three men working.
Three men are smiling and posing behind a truck loaded with various construction supplies.,Three men are smiling
A view of a marketplace full of people in an asian country.,A view of a crowed place in an asian country.
A woman in blue jeans and a dark jacket walks in front of a building.,A woman walked pasted the front of a building.
The surfer catches a big wave but stays on his board.,The person is surfing.
The dogs run and play with a red ball.,The dogs are playing with a ball.
A white dog running in the backyard.,The dog is running.
A woman wearing orange looking upward.,A woman gazes skyward
Gray dog running down pavement toward laundry line in courtyard.,A dog is running outdoors.
A dog is chasing a ball in a backyard.,A dog is playing in the grass.
An older couple posing in front of a fountain for a picture,A couple taking a picture
Older couple posing for a picture in front of a fountain.,An couple is outside.
The parents of the younger male are posing for a picture in front of a water fountain.,A photographer takes a picture of the boy's parents by the fountain.
A man and woman watching two kids while the man holds a balloon.,The man is holding a balloon.
A group of people sitting at some sort of gathering.,people are together
A couple pose in front of a fountain.,There are two people in this picture
Two women standing under an umbrella.,two humans close together
a brown dog is jumping up at a woman who is wearing a brown skirt.,A dog is being friendly.
One dog is jumping at the lady while the other walks away.,A lady is near two dogs.
A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,Two dogs are near a woman.
A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,The woman is greeted by the dog
A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,There are at least two dogs present.
A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,Two dogs are both excited.
A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,There are two dogs present.
Kids building and destroying objects.,Kids are playing with things.
Children playing with broken office equipment.,Children play with old equipment.
Two children are building something on the floor.,Two children are playing.
Children playing with or cleaning up miscellaneous items.,Kids putting away toys.
Young children outside playing with computer junk on the ground.,The children are playing.
Two dogs playing on carpet.,Two dogs are together.
Two bulldogs playing on the floor.,the dogs are indoors
Two dogs are playing and wrestling with each other.,A pair of dogs is playing.
Two dogs are playing together on white carpet near a couch.,Two dogs play.
A scuba diver stands on top of rocks after emerging from the water.,A scuba diver performnef on top of rocks.
two dogs wrestle.,Two dogs together.
3 safety jacket clad Construction workers appear to be poking something interesting with their shovels.,The construction workers are looking at something interesting.
3 safety jacket clad Construction workers appear to be poking something interesting with their shovels.,Some construction workers found something intriguing.
3 safety jacket clad Construction workers appear to be poking something interesting with their shovels.,3 construction workers with shovels.
3 safety jacket clad Construction workers appear to be poking something interesting with their shovels.,safety workers found something cool.
3 safety jacket clad Construction workers appear to be poking something interesting with their shovels.,Three construction workers have shovels.
"Three male construction workers are examining something in a field, two of them are holding shovels.",Two out of three costruction workers are holding shovels while examining an item in the field.
"Three male construction workers are examining something in a field, two of them are holding shovels.",Three men stand outdoors examining something that is in a field.
"Three male construction workers are examining something in a field, two of them are holding shovels.",Construction workers are looking at something in a field.
"Three male construction workers are examining something in a field, two of them are holding shovels.",Three men are in the field
"Three male construction workers are examining something in a field, two of them are holding shovels.",The three workers are outside
Three male workers in bright jackets are working in a field with shovels.,Men are digging.
Three male workers in bright jackets are working in a field with shovels.,The male workers were outdoors.
Three male workers in bright jackets are working in a field with shovels.,The Three males are working
Three male workers in bright jackets are working in a field with shovels.,There are people working.
Three male workers in bright jackets are working in a field with shovels.,The men are working with shovels.
People with safety vests stand in a field with shovels.,The people in safety vests are outside.
Men doing work in a field.,There are men working.
A man in the city on a cellphone.,A man talks on his cellphone.
"Two people heavily dressed, carrying backpacks, walk through snow.",There are two people walking in the snow.
A silver car with all of its doors open.,The car has doord
Two people walk along the side of a snowy mountain.,A man and a woman are walking in the snow.
Two people climbing a snowy mountain.,Two people are climbing a mountain.
People lean over in the snow.,There is snow and more than one person.
"Two people, with buildings behind them, are standing near a blue car with two doors open.",Two people are standing.
People in a city gathered around a blue station wagon.,People are next to a vehicle in the city.
A light blue car stopped outside with all its doors open.,A car is parked with all of its doors open.
Woman in white dress holds dove while sitting in flowered tree.,Woman is outdoors and cradling a dove.
A blond woman in a white dress sits in a flowering tree while holding a white bird.,The woman is blonde.
A blond woman in a white dress sits in a flowering tree while holding a white bird.,"A white bird is being held by a woman who is blonde, dressed in a white dress, and sitting in a flowering tree."
A blond woman in a white dress sits in a flowering tree while holding a white bird.,The woman uses her other hand to balance on the branch.
A blond woman in a white dress sits in a flowering tree while holding a white bird.,the woman was outside
A blond woman in a white dress sits in a flowering tree while holding a white bird.,The woman is older than 15 years old.
a blond girl in a white dress holding a bird in a tree.,A lady is wearing a dress holding a bird
A woman is holding a bird while sitting in a flowering tree.,There are flowers on the tree
A woman is holding a bird while sitting in a flowering tree.,A woman is holding a bird.
A woman is holding a bird while sitting in a flowering tree.,a woman and bird sit together
A woman is holding a bird while sitting in a flowering tree.,the person is outdoors.
A woman is holding a bird while sitting in a flowering tree.,The woman is older than 15.
People picking in a marsh.,People are near a body of water.
Woman sitting in tree with dove.,A woman and a bird are near each other.
Woman sitting in tree with dove.,A woman is outside.
Woman sitting in tree with dove.,Woman in a tree.
Woman sitting in tree with dove.,A woman is near a bird
Woman sitting in tree with dove.,The lady and the bird are outside.
two people working in water next to field,Two people are next to a field.
Two people are planting small bushes near a grassy area.,Two people are planting something.
"a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.",A girl walking in front of a mural featuring a portrait of a bald guy.
"a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.",a lady walks past a large painting outside
"a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.",A person walks in front of a wall painting of a man with no hair.
"a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.",A person is outdoors.
"a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.",A person is walking in front of an outdoor portrait of a man.
A woman dressed in a white shirt is walking by graffiti.,A woman is walking.
Woman walking by a mural of an old bald man.,A woman sees a mural.
This wall has a picture of a man on it.,There is a wall and it has a picture on it.
A woman walks by a mural.,there is a female in this picture
A woman is a red tank top is riding horse.,A woman is horseback.
Two men riding on a motorbike in an Asian community.,Two men are riding bikes.
"A man sits on a deck, taking a break from fishing.",A man sits on a deck.
The man is sitting on a wooden rail near two fishing poles.,The man is sitting.
Someone in a yellow hat is sitting next to two fishing poles.,The person is next to a fishing pole.
A man sits on the edge of a wooden bench with two fishing poles behind him.,A man with fishing poles behind him sits on a bench.
"A man sits on the edge of a brige, looking out, fishing poles behind him.",A man fishing.
Young men and women gather outside in the streets for a party.,Men and women are outside.
People on the roof of a building look down on a crowded street.,People are outside.
Several people watching a scene on the street below from an apartment building.,The people are looking out the window.
A group of people gathered around a brick building that has three men on top of it.,The building is occupied.
A man playing the guitar is jumping.,The guitarist performs.
A young man in black glasses and a striped shirt jumping up while playing a guitar.,A man is playing the guitar.
a young man playing an electric guitar while jumping up and down in front of fans.,A guitar playing is playing for a audience.
The guy in a striped shirt is playing his electric guitar.,A male has an instrument.
A man in a striped polo plays a blue electric guitar.,The man is wearing a polo shirt.
Two men playing instruments for money while a woman is on her phone.,people playing instruments for money
"Two men, playing a soprano saxophone and guitar play music on a street corner while a listener checks her phone.",the men were playing music on the street corner
A lady standing on the corner using her phone.,The lady is outside
A girl photographs street musicians with her phone.,Girl taking picture
A person aquestrian horse jumping over a wooden fence.,A person horse jumping
Two men are playing instruments on a sidewalk.,Street performers show their skills.
A woman wearing a black top and red skirt is throwing a ball into the air.,A female is tossing a round object.
Several people read by a campfire at night.,There are people outside.
A dog swims in the water.,A dog is swimming outside.
Three people sitting around a fire.,Three people outside.
A group of people are burning things.,A group of people are burning stuff.
A large black and white dog is swimming in the water.,An animal is swimming outside.
three people sit around a campfire.,The fire burns on
A dog swims through deep water.,Dog swimming in water.
A black and white dog is swimming.,There is an animal in water
A woman helps boys on a computer.,The boy is using a computer
A woman in a butchers shop leans over a counter and handles a large strip of meat.,A woman handles meat.
A woman with thinning hair is working in a meat processing plant.,A woman is working a tough job.
A woman is handling meat from a clear glass meat cage while standing before a wooden counter with a large metal bowl on it.,Woman handling meat from in front of a wooden counter.
"A room full of children raise their hands, fingers extended, to the sky.",There is a room full of children.
A woman walks past a fountain with palm trees in the background.,A woman walks past water with tall trees in the background.
people raise their hands.,People are waiting to answer questions.
An African American man in a suit gestures with his hands as he speaks.,A black man in a suit is moving his hands diligently while speaking.
A man is browsing things for sale on the street.,A man is browsing things for sale on the road.
A man on a high ladder is painting the outside of a house.,A man outside on a high ladder is painting the outside of a house.
Repairing a house in the hot sun how unfunny that has to be.,It is to warm to be outside.
A man in khaki pants and a light shirt and hat stands on scaffolding to apply stucco to a building.,A man is wearing a hat.
Children getting temporary tattoos from a Muslim lady.,Children get some temporary bodily decorations
