anchor,positive,negative
A dog is in the water.,A large furry dog walking through the water with a big stick in his mouth.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A large furry dog walking through the water with a big stick in his mouth.,The dog is rolling around in the grass.
A dog is in the water.,A large furry dog walking through the water with a big stick in his mouth.,The dog is in sand.
A dog is in the water.,A large furry dog walking through the water with a big stick in his mouth.,two dogs play in a park
A dog is in the water.,A large furry dog walking through the water with a big stick in his mouth.,A cat is in water and is angry.
A dog is in the water.,There is water around the dog.,The puppy is eating a dog treat.
A dog is in the water.,There is water around the dog.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,There is water around the dog.,The dog is rolling around in the grass.
A dog is in the water.,There is water around the dog.,The dog is in sand.
A dog is in the water.,There is water around the dog.,two dogs play in a park
A dog is in the water.,There is water around the dog.,A cat is in water and is angry.
A dog is in the water.,a black dog runs through the water.,The puppy is eating a dog treat.
A dog is in the water.,a black dog runs through the water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,a black dog runs through the water.,The dog is rolling around in the grass.
A dog is in the water.,a black dog runs through the water.,The dog is in sand.
A dog is in the water.,a black dog runs through the water.,two dogs play in a park
A dog is in the water.,a black dog runs through the water.,A cat is in water and is angry.
A dog is in the water.,A black and white dog swimming in clear water.,The puppy is eating a dog treat.
A dog is in the water.,A black and white dog swimming in clear water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A black and white dog swimming in clear water.,The dog is rolling around in the grass.
A dog is in the water.,A black and white dog swimming in clear water.,The dog is in sand.
A dog is in the water.,A black and white dog swimming in clear water.,two dogs play in a park
A dog is in the water.,A black and white dog swimming in clear water.,A cat is in water and is angry.
A dog is in the water.,A brown dog leaps into the water.,The puppy is eating a dog treat.
A dog is in the water.,A brown dog leaps into the water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A brown dog leaps into the water.,The dog is rolling around in the grass.
A dog is in the water.,A brown dog leaps into the water.,The dog is in sand.
A dog is in the water.,A brown dog leaps into the water.,two dogs play in a park
A dog is in the water.,A brown dog leaps into the water.,A cat is in water and is angry.
A dog is in the water.,A brown dog splashes in the water.,The puppy is eating a dog treat.
A dog is in the water.,A brown dog splashes in the water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A brown dog splashes in the water.,The dog is rolling around in the grass.
A dog is in the water.,A brown dog splashes in the water.,The dog is in sand.
A dog is in the water.,A brown dog splashes in the water.,two dogs play in a park
A dog is in the water.,A brown dog splashes in the water.,A cat is in water and is angry.
A dog is in the water.,A dog in a lake.,The puppy is eating a dog treat.
A dog is in the water.,A dog in a lake.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A dog in a lake.,The dog is rolling around in the grass.
A dog is in the water.,A dog in a lake.,The dog is in sand.
A dog is in the water.,A dog in a lake.,two dogs play in a park
A dog is in the water.,A dog in a lake.,A cat is in water and is angry.
A dog is in the water.,A brown dog walks through natural water.,The puppy is eating a dog treat.
A dog is in the water.,A brown dog walks through natural water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A brown dog walks through natural water.,The dog is rolling around in the grass.
A dog is in the water.,A brown dog walks through natural water.,The dog is in sand.
A dog is in the water.,A brown dog walks through natural water.,two dogs play in a park
A dog is in the water.,A brown dog walks through natural water.,A cat is in water and is angry.
A dog is in the water.,A dog is in water.,The puppy is eating a dog treat.
A dog is in the water.,A dog is in water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A dog is in water.,The dog is rolling around in the grass.
A dog is in the water.,A dog is in water.,The dog is in sand.
A dog is in the water.,A dog is in water.,two dogs play in a park
A dog is in the water.,A dog is in water.,A cat is in water and is angry.
A dog is in the water.,A big brown dog jumps into a swimming pool on the backyard.,The puppy is eating a dog treat.
A dog is in the water.,A big brown dog jumps into a swimming pool on the backyard.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A big brown dog jumps into a swimming pool on the backyard.,The dog is rolling around in the grass.
A dog is in the water.,A big brown dog jumps into a swimming pool on the backyard.,The dog is in sand.
A dog is in the water.,A big brown dog jumps into a swimming pool on the backyard.,two dogs play in a park
A dog is in the water.,A big brown dog jumps into a swimming pool on the backyard.,A cat is in water and is angry.
A dog is in the water.,The brown dog is in the waving water.,The puppy is eating a dog treat.
A dog is in the water.,The brown dog is in the waving water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,The brown dog is in the waving water.,The dog is rolling around in the grass.
A dog is in the water.,The brown dog is in the waving water.,The dog is in sand.
A dog is in the water.,The brown dog is in the waving water.,two dogs play in a park
A dog is in the water.,The brown dog is in the waving water.,A cat is in water and is angry.
A dog is in the water.,A dog is in some water with a tree branch in its mouth.,The puppy is eating a dog treat.
A dog is in the water.,A dog is in some water with a tree branch in its mouth.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A dog is in some water with a tree branch in its mouth.,The dog is rolling around in the grass.
A dog is in the water.,A dog is in some water with a tree branch in its mouth.,The dog is in sand.
A dog is in the water.,A dog is in some water with a tree branch in its mouth.,two dogs play in a park
A dog is in the water.,A dog is in some water with a tree branch in its mouth.,A cat is in water and is angry.
A dog is in the water.,A dog swimming along the ocean with a bark in its mouth.,The puppy is eating a dog treat.
A dog is in the water.,A dog swimming along the ocean with a bark in its mouth.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A dog swimming along the ocean with a bark in its mouth.,The dog is rolling around in the grass.
A dog is in the water.,A dog swimming along the ocean with a bark in its mouth.,The dog is in sand.
A dog is in the water.,A dog swimming along the ocean with a bark in its mouth.,two dogs play in a park
A dog is in the water.,A dog swimming along the ocean with a bark in its mouth.,A cat is in water and is angry.
A dog is in the water.,A white dog is splashing through the water.,The puppy is eating a dog treat.
A dog is in the water.,A white dog is splashing through the water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A white dog is splashing through the water.,The dog is rolling around in the grass.
A dog is in the water.,A white dog is splashing through the water.,The dog is in sand.
A dog is in the water.,A white dog is splashing through the water.,two dogs play in a park
A dog is in the water.,A white dog is splashing through the water.,A cat is in water and is angry.
A dog is in the water.,A white dog with brown spots standing in water.,The puppy is eating a dog treat.
A dog is in the water.,A white dog with brown spots standing in water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A white dog with brown spots standing in water.,The dog is rolling around in the grass.
A dog is in the water.,A white dog with brown spots standing in water.,The dog is in sand.
A dog is in the water.,A white dog with brown spots standing in water.,two dogs play in a park
A dog is in the water.,A white dog with brown spots standing in water.,A cat is in water and is angry.
A dog is in the water.,a dog hangs out in some water,The puppy is eating a dog treat.
A dog is in the water.,a dog hangs out in some water,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,a dog hangs out in some water,The dog is rolling around in the grass.
A dog is in the water.,a dog hangs out in some water,The dog is in sand.
A dog is in the water.,a dog hangs out in some water,two dogs play in a park
A dog is in the water.,a dog hangs out in some water,A cat is in water and is angry.
A dog is in the water.,Wet brown dog swims towards camera.,The puppy is eating a dog treat.
A dog is in the water.,Wet brown dog swims towards camera.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,Wet brown dog swims towards camera.,The dog is rolling around in the grass.
A dog is in the water.,Wet brown dog swims towards camera.,The dog is in sand.
A dog is in the water.,Wet brown dog swims towards camera.,two dogs play in a park
A dog is in the water.,Wet brown dog swims towards camera.,A cat is in water and is angry.
A dog is in the water.,A dog with an orange ball in its mouth swimming.,The puppy is eating a dog treat.
A dog is in the water.,A dog with an orange ball in its mouth swimming.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A dog with an orange ball in its mouth swimming.,The dog is rolling around in the grass.
A dog is in the water.,A dog with an orange ball in its mouth swimming.,The dog is in sand.
A dog is in the water.,A dog with an orange ball in its mouth swimming.,two dogs play in a park
A dog is in the water.,A dog with an orange ball in its mouth swimming.,A cat is in water and is angry.
A dog is in the water.,A dog in water with its head cocked to the side looking at a ball.,The puppy is eating a dog treat.
A dog is in the water.,A dog in water with its head cocked to the side looking at a ball.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A dog in water with its head cocked to the side looking at a ball.,The dog is rolling around in the grass.
A dog is in the water.,A dog in water with its head cocked to the side looking at a ball.,The dog is in sand.
A dog is in the water.,A dog in water with its head cocked to the side looking at a ball.,two dogs play in a park
A dog is in the water.,A dog in water with its head cocked to the side looking at a ball.,A cat is in water and is angry.
A dog is in the water.,A black dog with a red collar wading through the water.,The puppy is eating a dog treat.
A dog is in the water.,A black dog with a red collar wading through the water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A black dog with a red collar wading through the water.,The dog is rolling around in the grass.
A dog is in the water.,A black dog with a red collar wading through the water.,The dog is in sand.
A dog is in the water.,A black dog with a red collar wading through the water.,two dogs play in a park
A dog is in the water.,A black dog with a red collar wading through the water.,A cat is in water and is angry.
A dog is in the water.,A dog swims in a pool.,The puppy is eating a dog treat.
A dog is in the water.,A dog swims in a pool.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A dog swims in a pool.,The dog is rolling around in the grass.
A dog is in the water.,A dog swims in a pool.,The dog is in sand.
A dog is in the water.,A dog swims in a pool.,two dogs play in a park
A dog is in the water.,A dog swims in a pool.,A cat is in water and is angry.
Closeup image of a dog swimming.,A dog swims in a body of water.,A cat reluctantly takes a bath.
The furry brown dog is swimming in the ocean.,A dog is swimming.,A dog is running around the yard.
A dog is swimming.,The large brown dog is paddling in the water.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,The large brown dog is paddling in the water.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,The large brown dog is paddling in the water.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,The large brown dog is paddling in the water.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,The large brown dog is paddling in the water.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,The large brown dog is paddling in the water.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,The large brown dog is paddling in the water.,A brown dog running through a large orange tube.
A dog is swimming.,The large brown dog is paddling in the water.,a dog shakes dry.
A dog is swimming.,The large brown dog is paddling in the water.,A white dog with beige spots is running through a field.
A dog is swimming.,The large brown dog is paddling in the water.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,The large brown dog is paddling in the water.,A dog in a harness chasing a red ball.
A dog is swimming.,The large brown dog is paddling in the water.,a black dog runs across the snow.
A dog is swimming.,The large brown dog is paddling in the water.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,The large brown dog is paddling in the water.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,A tan dog splashes as he swims through the water.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,A tan dog splashes as he swims through the water.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,A tan dog splashes as he swims through the water.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,A tan dog splashes as he swims through the water.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,A tan dog splashes as he swims through the water.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,A tan dog splashes as he swims through the water.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,A tan dog splashes as he swims through the water.,A brown dog running through a large orange tube.
A dog is swimming.,A tan dog splashes as he swims through the water.,a dog shakes dry.
A dog is swimming.,A tan dog splashes as he swims through the water.,A white dog with beige spots is running through a field.
A dog is swimming.,A tan dog splashes as he swims through the water.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,A tan dog splashes as he swims through the water.,A dog in a harness chasing a red ball.
A dog is swimming.,A tan dog splashes as he swims through the water.,a black dog runs across the snow.
A dog is swimming.,A tan dog splashes as he swims through the water.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,A tan dog splashes as he swims through the water.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A brown dog running through a large orange tube.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,a dog shakes dry.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A white dog with beige spots is running through a field.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A dog in a harness chasing a red ball.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,a black dog runs across the snow.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,The brown and white dog swims in a swimming pool.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,The brown and white dog swims in a swimming pool.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,The brown and white dog swims in a swimming pool.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,The brown and white dog swims in a swimming pool.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,The brown and white dog swims in a swimming pool.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,The brown and white dog swims in a swimming pool.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,The brown and white dog swims in a swimming pool.,A brown dog running through a large orange tube.
A dog is swimming.,The brown and white dog swims in a swimming pool.,a dog shakes dry.
A dog is swimming.,The brown and white dog swims in a swimming pool.,A white dog with beige spots is running through a field.
A dog is swimming.,The brown and white dog swims in a swimming pool.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,The brown and white dog swims in a swimming pool.,A dog in a harness chasing a red ball.
A dog is swimming.,The brown and white dog swims in a swimming pool.,a black dog runs across the snow.
A dog is swimming.,The brown and white dog swims in a swimming pool.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,The brown and white dog swims in a swimming pool.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,A dog swimming with a stick in its mouth.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,A dog swimming with a stick in its mouth.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,A dog swimming with a stick in its mouth.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,A dog swimming with a stick in its mouth.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,A dog swimming with a stick in its mouth.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,A dog swimming with a stick in its mouth.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,A dog swimming with a stick in its mouth.,A brown dog running through a large orange tube.
A dog is swimming.,A dog swimming with a stick in its mouth.,a dog shakes dry.
A dog is swimming.,A dog swimming with a stick in its mouth.,A white dog with beige spots is running through a field.
A dog is swimming.,A dog swimming with a stick in its mouth.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,A dog swimming with a stick in its mouth.,A dog in a harness chasing a red ball.
A dog is swimming.,A dog swimming with a stick in its mouth.,a black dog runs across the snow.
A dog is swimming.,A dog swimming with a stick in its mouth.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,A dog swimming with a stick in its mouth.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,A brown dog running through a large orange tube.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,a dog shakes dry.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,A white dog with beige spots is running through a field.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,A dog in a harness chasing a red ball.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,a black dog runs across the snow.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,A white dog swims in the water while holding a red object in its mouth.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,A black and white dog is swimming through some water.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,A black and white dog is swimming through some water.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,A black and white dog is swimming through some water.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,A black and white dog is swimming through some water.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,A black and white dog is swimming through some water.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,A black and white dog is swimming through some water.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,A black and white dog is swimming through some water.,A brown dog running through a large orange tube.
A dog is swimming.,A black and white dog is swimming through some water.,a dog shakes dry.
A dog is swimming.,A black and white dog is swimming through some water.,A white dog with beige spots is running through a field.
A dog is swimming.,A black and white dog is swimming through some water.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,A black and white dog is swimming through some water.,A dog in a harness chasing a red ball.
A dog is swimming.,A black and white dog is swimming through some water.,a black dog runs across the snow.
A dog is swimming.,A black and white dog is swimming through some water.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,A black and white dog is swimming through some water.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,A brown and white dog goes into water while looking back.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,A brown and white dog goes into water while looking back.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,A brown and white dog goes into water while looking back.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,A brown and white dog goes into water while looking back.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,A brown and white dog goes into water while looking back.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,A brown and white dog goes into water while looking back.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,A brown and white dog goes into water while looking back.,A brown dog running through a large orange tube.
A dog is swimming.,A brown and white dog goes into water while looking back.,a dog shakes dry.
A dog is swimming.,A brown and white dog goes into water while looking back.,A white dog with beige spots is running through a field.
A dog is swimming.,A brown and white dog goes into water while looking back.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,A brown and white dog goes into water while looking back.,A dog in a harness chasing a red ball.
A dog is swimming.,A brown and white dog goes into water while looking back.,a black dog runs across the snow.
A dog is swimming.,A brown and white dog goes into water while looking back.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,A brown and white dog goes into water while looking back.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,A dog with golden hair swims through water.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,A dog with golden hair swims through water.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,A dog with golden hair swims through water.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,A dog with golden hair swims through water.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,A dog with golden hair swims through water.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,A dog with golden hair swims through water.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,A dog with golden hair swims through water.,A brown dog running through a large orange tube.
A dog is swimming.,A dog with golden hair swims through water.,a dog shakes dry.
A dog is swimming.,A dog with golden hair swims through water.,A white dog with beige spots is running through a field.
A dog is swimming.,A dog with golden hair swims through water.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,A dog with golden hair swims through water.,A dog in a harness chasing a red ball.
A dog is swimming.,A dog with golden hair swims through water.,a black dog runs across the snow.
A dog is swimming.,A dog with golden hair swims through water.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,A dog with golden hair swims through water.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,The dog is swimming in the water.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,The dog is swimming in the water.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,The dog is swimming in the water.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,The dog is swimming in the water.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,The dog is swimming in the water.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,The dog is swimming in the water.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,The dog is swimming in the water.,A brown dog running through a large orange tube.
A dog is swimming.,The dog is swimming in the water.,a dog shakes dry.
A dog is swimming.,The dog is swimming in the water.,A white dog with beige spots is running through a field.
A dog is swimming.,The dog is swimming in the water.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,The dog is swimming in the water.,A dog in a harness chasing a red ball.
A dog is swimming.,The dog is swimming in the water.,a black dog runs across the snow.
A dog is swimming.,The dog is swimming in the water.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,The dog is swimming in the water.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,Dog swimming in body of water,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,Dog swimming in body of water,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,Dog swimming in body of water,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,Dog swimming in body of water,A brown god relaxes on a brick sidewalk.
A dog is swimming.,Dog swimming in body of water,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,Dog swimming in body of water,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,Dog swimming in body of water,A brown dog running through a large orange tube.
A dog is swimming.,Dog swimming in body of water,a dog shakes dry.
A dog is swimming.,Dog swimming in body of water,A white dog with beige spots is running through a field.
A dog is swimming.,Dog swimming in body of water,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,Dog swimming in body of water,A dog in a harness chasing a red ball.
A dog is swimming.,Dog swimming in body of water,a black dog runs across the snow.
A dog is swimming.,Dog swimming in body of water,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,Dog swimming in body of water,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,A golden dog swims with a stick in its mouth,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,A golden dog swims with a stick in its mouth,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,A golden dog swims with a stick in its mouth,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,A golden dog swims with a stick in its mouth,A brown god relaxes on a brick sidewalk.
A dog is swimming.,A golden dog swims with a stick in its mouth,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,A golden dog swims with a stick in its mouth,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,A golden dog swims with a stick in its mouth,A brown dog running through a large orange tube.
A dog is swimming.,A golden dog swims with a stick in its mouth,a dog shakes dry.
A dog is swimming.,A golden dog swims with a stick in its mouth,A white dog with beige spots is running through a field.
A dog is swimming.,A golden dog swims with a stick in its mouth,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,A golden dog swims with a stick in its mouth,A dog in a harness chasing a red ball.
A dog is swimming.,A golden dog swims with a stick in its mouth,a black dog runs across the snow.
A dog is swimming.,A golden dog swims with a stick in its mouth,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,A golden dog swims with a stick in its mouth,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,The furry brown dog is swimming in the ocean.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,The furry brown dog is swimming in the ocean.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,The furry brown dog is swimming in the ocean.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,The furry brown dog is swimming in the ocean.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,The furry brown dog is swimming in the ocean.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,The furry brown dog is swimming in the ocean.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,The furry brown dog is swimming in the ocean.,A brown dog running through a large orange tube.
A dog is swimming.,The furry brown dog is swimming in the ocean.,a dog shakes dry.
A dog is swimming.,The furry brown dog is swimming in the ocean.,A white dog with beige spots is running through a field.
A dog is swimming.,The furry brown dog is swimming in the ocean.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,The furry brown dog is swimming in the ocean.,A dog in a harness chasing a red ball.
A dog is swimming.,The furry brown dog is swimming in the ocean.,a black dog runs across the snow.
A dog is swimming.,The furry brown dog is swimming in the ocean.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,The furry brown dog is swimming in the ocean.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,"The dog is holding a branch, swimming in the river.",A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",A brown god relaxes on a brick sidewalk.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",A brown dog running through a large orange tube.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",a dog shakes dry.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",A white dog with beige spots is running through a field.
A dog is swimming.,"The dog is holding a branch, swimming in the river.","Young redhead, looking through a gold colored telescope."
A dog is swimming.,"The dog is holding a branch, swimming in the river.",A dog in a harness chasing a red ball.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",a black dog runs across the snow.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,"The dog is holding a branch, swimming in the river.",A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,A small black and white dog is swimming in water.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
